layer,adc_bits,sat_rate,act_max,overhead
model.decoder.layers.0.self_attn.q_proj,7,0.9991455078125,3.425585985183716,2
model.decoder.layers.0.self_attn.k_proj,7,0.9991455078125,3.425585985183716,2
model.decoder.layers.0.self_attn.v_proj,7,0.9991455078125,3.425585985183716,2
model.decoder.layers.0.self_attn.out_proj,6,0.0,0.7834491729736328,0
model.decoder.layers.0.fc1,7,0.3343505859375,3.0592446327209473,2
model.decoder.layers.0.fc2,6,0.001953125,18.942710876464844,5
model.decoder.layers.1.self_attn.q_proj,7,0.99993896484375,5.976691722869873,3
model.decoder.layers.1.self_attn.k_proj,7,0.99993896484375,5.976691722869873,3
model.decoder.layers.1.self_attn.v_proj,7,0.99993896484375,5.976691722869873,3
model.decoder.layers.1.self_attn.out_proj,6,0.0,0.6414583325386047,0
model.decoder.layers.1.fc1,7,1.0,8.106743812561035,4
model.decoder.layers.1.fc2,6,0.00244140625,2.487076759338379,2
model.decoder.layers.2.self_attn.q_proj,7,1.0,9.7609224319458,4
model.decoder.layers.2.self_attn.k_proj,7,1.0,9.7609224319458,4
model.decoder.layers.2.self_attn.v_proj,7,1.0,9.7609224319458,4
model.decoder.layers.2.self_attn.out_proj,6,0.001953125,1.291568636894226,1
model.decoder.layers.2.fc1,7,1.0,20.014427185058594,5
model.decoder.layers.2.fc2,6,0.00238037109375,5.699468612670898,3
model.decoder.layers.3.self_attn.q_proj,7,1.0,11.281867980957031,4
model.decoder.layers.3.self_attn.k_proj,7,1.0,11.281867980957031,4
model.decoder.layers.3.self_attn.v_proj,7,1.0,11.281867980957031,4
model.decoder.layers.3.self_attn.out_proj,6,0.0,0.7476382255554199,0
model.decoder.layers.3.fc1,7,1.0,14.340668678283691,4
model.decoder.layers.3.fc2,6,0.00201416015625,3.3318986892700195,2
model.decoder.layers.4.self_attn.q_proj,7,1.0,15.333041191101074,4
model.decoder.layers.4.self_attn.k_proj,7,1.0,15.333041191101074,4
model.decoder.layers.4.self_attn.v_proj,7,1.0,15.333041191101074,4
model.decoder.layers.4.self_attn.out_proj,6,0.000244140625,1.062968373298645,1
model.decoder.layers.4.fc1,7,1.0,15.144189834594727,4
model.decoder.layers.4.fc2,6,0.0052490234375,4.947651386260986,3
model.decoder.layers.5.self_attn.q_proj,7,1.0,13.381263732910156,4
model.decoder.layers.5.self_attn.k_proj,7,1.0,13.381263732910156,4
model.decoder.layers.5.self_attn.v_proj,7,1.0,13.381263732910156,4
model.decoder.layers.5.self_attn.out_proj,6,0.00054931640625,1.1869126558303833,1
model.decoder.layers.5.fc1,7,1.0,6.340760707855225,3
model.decoder.layers.5.fc2,6,0.00299072265625,2.079740285873413,2
model.decoder.layers.6.self_attn.q_proj,7,1.0,14.580864906311035,4
model.decoder.layers.6.self_attn.k_proj,7,1.0,14.580864906311035,4
model.decoder.layers.6.self_attn.v_proj,7,1.0,14.580864906311035,4
model.decoder.layers.6.self_attn.out_proj,6,0.00250244140625,1.216020107269287,1
model.decoder.layers.6.fc1,7,1.0,26.0468807220459,5
model.decoder.layers.6.fc2,6,0.03143310546875,2.335000514984131,2
model.decoder.layers.7.self_attn.q_proj,7,1.0,26.330224990844727,5
model.decoder.layers.7.self_attn.k_proj,7,1.0,26.330224990844727,5
model.decoder.layers.7.self_attn.v_proj,7,1.0,26.330224990844727,5
model.decoder.layers.7.self_attn.out_proj,7,0.08441162109375,2.3417162895202637,2
model.decoder.layers.7.fc1,7,1.0,19.900373458862305,5
model.decoder.layers.7.fc2,6,0.04742431640625,2.4490420818328857,2
model.decoder.layers.8.self_attn.q_proj,7,1.0,26.44248390197754,5
model.decoder.layers.8.self_attn.k_proj,7,1.0,26.44248390197754,5
model.decoder.layers.8.self_attn.v_proj,7,1.0,26.44248390197754,5
model.decoder.layers.8.self_attn.out_proj,7,0.06304931640625,1.621293067932129,1
model.decoder.layers.8.fc1,7,1.0,20.94217300415039,5
model.decoder.layers.8.fc2,7,0.20916748046875,2.10176420211792,2
model.decoder.layers.9.self_attn.q_proj,7,1.0,26.309803009033203,5
model.decoder.layers.9.self_attn.k_proj,7,1.0,26.309803009033203,5
model.decoder.layers.9.self_attn.v_proj,7,1.0,26.309803009033203,5
model.decoder.layers.9.self_attn.out_proj,7,0.0767822265625,1.7166728973388672,1
model.decoder.layers.9.fc1,7,1.0,17.54842185974121,5
model.decoder.layers.9.fc2,7,0.3546142578125,2.697584629058838,2
model.decoder.layers.10.self_attn.q_proj,7,1.0,18.54355812072754,5
model.decoder.layers.10.self_attn.k_proj,7,1.0,18.54355812072754,5
model.decoder.layers.10.self_attn.v_proj,7,1.0,18.54355812072754,5
model.decoder.layers.10.self_attn.out_proj,7,0.1051025390625,1.9578959941864014,1
model.decoder.layers.10.fc1,7,1.0,15.404013633728027,4
model.decoder.layers.10.fc2,7,0.7275390625,3.152449607849121,2
model.decoder.layers.11.self_attn.q_proj,7,1.0,26.499448776245117,5
model.decoder.layers.11.self_attn.k_proj,7,1.0,26.499448776245117,5
model.decoder.layers.11.self_attn.v_proj,7,1.0,26.499448776245117,5
model.decoder.layers.11.self_attn.out_proj,7,0.1007080078125,1.5198843479156494,1
model.decoder.layers.11.fc1,7,1.0,14.170702934265137,4
model.decoder.layers.11.fc2,7,0.92547607421875,5.573729515075684,3
lm_head,7,1.0,14.820263862609863,4
